\,BR01 動物園,BR02 木柵,BR03 萬芳社區,BR04 萬芳醫院,BR05 辛亥,BR06 麟光,BR07 六張犁,BR08 科技大樓,BR09 大安,BR10 忠孝復興,BR11 南京復興,BR12 中山國中,BR13 松山機場,BR14 大直,BR15 劍南路,BR16 西湖,BR17 港墘,BR18 文德,BR19 內湖,BR20 大湖公園,BR21 葫洲,BR22 東湖,BR23 南港軟體園區,BR24 南港展覽館,R02 象山,R03 台北101/世貿,R04 信義安和,R05 大安,R06 大安森林公園,R07 東門,R08 中正紀念堂,R09 台大醫院,R10 台北車站,R11 中山,R12 雙連,R13 民權西路,R14 圓山,R15 劍潭,R16 士林,R17 芝山,R18 明德,R19 石牌,R20 唭哩岸,R21 奇岩,R22 北投,R22A 新北投,R23 復興崗,R24 忠義,R25 關渡,R26 竹圍,R27 紅樹林,R28 淡水,G01 新店,G02 新店區公所,G03 七張,G03A 小碧潭,G04 大坪林,G05 景美,G06 萬隆,G07 公館,G08 台電大樓,G09 古亭,G10 中正紀念堂,G11 小南門,G12 西門,G13 北門,G14 中山,G15 松江南京,G16 南京復興,G17 台北小巨蛋,G18 南京三民,G19 松山,O01 南勢角,O02 景安,O03 永安市場,O04 頂溪,O05 古亭,O06 東門,O07 忠孝新生,O08 松江南京,O09 行天宮,O10 中山國小,O11 民權西路,O12 大橋頭,O13 台北橋,O14 菜寮,O15 三重,O16 先嗇宮,O17 頭前庄,O18 新莊,O19 輔大,O20 丹鳳,O21 迴龍,O50 三重國小,O51 三和國中,O52 徐匯中學,O53 三民高中,O54 蘆洲,BL01 頂埔,BL02 永寧,BL03 土城,BL04 海山,BL05 亞東醫院,BL06 府中,BL07 板橋,BL08 新埔,BL09 江子翠,BL10 龍山寺,BL11 西門,BL12 台北車站,BL13 善導寺,BL14 忠孝新生,BL15 忠孝復興,BL16 忠孝敦化,BL17 國父紀念館,BL18 市政府,BL19 永春,BL20 後山埤,BL21 昆陽,BL22 南港,BL23 南港展覽館,Y07 大坪林,Y08 十四張,Y09 秀朗橋,Y10 景平,Y11 景安,Y12 中和,Y13 橋和,Y14 中原,Y15 板新,Y16 板橋,Y17 新埔民生,Y18 頭前庄,Y19 幸福,Y20 新北產業園區, 
BR01 動物園,0/0/0/0/0,20/8/12/8/2,20/8/12/8/3,20/8/12/8/5,20/8/12/8/7,20/8/12/8/10,25/10/15/10/11,25/10/15/10/14,25/10/15/10/15,30/12/18/12/17,30/12/18/12/19,30/12/18/12/21,35/14/21/14/23,40/16/24/16/27,40/16/24/16/29,45/18/27/18/31,45/18/27/18/33,45/18/27/18/34,50/20/30/20/36,50/20/30/20/37,45/18/27/18/40,45/18/27/18/42,40/16/24/16/43,40/16/24/16/37,30/12/18/12/26,30/12/18/12/24,30/12/18/12/22,25/10/15/10/15,30/12/18/12/21,30/12/18/12/23,30/12/18/12/27,35/14/21/14/29,35/14/21/14/27,35/14/21/14/28,35/14/21/14/33,35/14/21/14/35,35/14/21/14/37,40/16/24/16/39,40/16/24/16/41,45/18/27/18/43,45/18/27/18/45,45/18/27/18/46,50/20/30/20/49,50/20/30/20/50,50/20/30/20/52,50/20/30/20/58,55/22/33/22/55,55/22/33/22/57,55/22/33/22/59,60/24/36/24/62,60/24/36/24/64,65/26/39/26/68,45/18/27/18/46,45/18/27/18/44,40/16/24/16/42,45/18/27/18/48,40/16/24/16/40,40/16/24/16/38,35/14/21/14/36,35/14/21/14/34,35/14/21/14/32,30/12/18/12/29,30/12/18/12/27,35/14/21/14/30,35/14/21/14/30,35/14/21/14/30,35/14/21/14/28,30/12/18/12/26,30/12/18/12/19,30/12/18/12/25,35/14/21/14/28,35/14/21/14/30,40/16/24/16/38,40/16/24/16/36,35/14/21/14/34,35/14/21/14/32,30/12/18/12/29,30/12/18/12/23,30/12/18/12/23,30/12/18/12/26,35/14/21/14/29,35/14/21/14/31,35/14/21/14/35,35/14/21/14/34,40/16/24/16/37,40/16/24/16/39,40/16/24/16/41,45/18/27/18/44,45/18/27/18/46,45/18/27/18/48,50/20/30/20/50,55/22/33/22/53,55/22/33/22/56,40/16/24/16/37,40/16/24/16/39,45/18/27/18/41,45/18/27/18/43,45/18/27/18/45,55/22/33/22/54,55/22/33/22/50,55/22/33/22/48,50/20/30/20/46,50/20/30/20/43,45/18/27/18/41,45/18/27/18/40,45/18/27/18/37,40/16/24/16/36,35/14/21/14/32,35/14/21/14/30,35/14/21/14/27,30/12/18/12/25,30/12/18/12/23,30/12/18/12/17,30/12/18/12/23,30/12/18/12/25,30/12/18/12/26,35/14/21/14/28,35/14/21/14/30,35/14/21/14/32,40/16/24/16/34,40/16/24/16/37,40/16/24/16/40,45/18/27/18/46,40/16/24/16/46,40/16/24/16/44,40/16/24/16/36,40/16/24/16/46,45/18/27/18/48,45/18/27/18/49,45/18/27/18/53,45/18/27/18/51,45/18/27/18/46,45/18/27/18/46,50/20/30/20/51,50/20/30/20/54, 
BR02 木柵,20/8/12/8/2,0/0/0/0/0,20/8/12/8/1,20/8/12/8/3,20/8/12/8/6,20/8/12/8/8,20/8/12/8/10,25/10/15/10/12,25/10/15/10/14,25/10/15/10/15,30/12/18/12/17,30/12/18/12/19,35/14/21/14/22,35/14/21/14/25,40/16/24/16/27,40/16/24/16/29,45/18/27/18/31,45/18/27/18/33,45/18/27/18/34,45/18/27/18/36,45/18/27/18/38,45/18/27/18/40,40/16/24/16/42,40/16/24/16/35,30/12/18/12/24,30/12/18/12/22,25/10/15/10/20,25/10/15/10/14,25/10/15/10/20,30/12/18/12/22,30/12/18/12/25,30/12/18/12/27,30/12/18/12/25,35/14/21/14/26,35/14/21/14/32,35/14/21/14/33,35/14/21/14/35,40/16/24/16/38,40/16/24/16/40,40/16/24/16/42,45/18/27/18/43,45/18/27/18/45,45/18/27/18/47,50/20/30/20/49,50/20/30/20/51,50/20/30/20/56,50/20/30/20/53,55/22/33/22/56,55/22/33/22/57,60/24/36/24/60,60/24/36/24/63,65/26/39/26/66,45/18/27/18/44,45/18/27/18/42,40/16/24/16/40,45/18/27/18/47,40/16/24/16/39,40/16/24/16/37,35/14/21/14/35,35/14/21/14/32,30/12/18/12/30,30/12/18/12/27,30/12/18/12/25,30/12/18/12/28,35/14/21/14/28,35/14/21/14/29,35/14/21/14/26,30/12/18/12/24,30/12/18/12/17,30/12/18/12/24,35/14/21/14/26,35/14/21/14/29,40/16/24/16/37,40/16/24/16/35,35/14/21/14/33,35/14/21/14/31,30/12/18/12/27,30/12/18/12/22,30/12/18/12/22,30/12/18/12/24,30/12/18/12/27,35/14/21/14/29,35/14/21/14/33,35/14/21/14/33,40/16/24/16/35,40/16/24/16/37,40/16/24/16/39,45/18/27/18/42,45/18/27/18/44,45/18/27/18/46,50/20/30/20/49,50/20/30/20/51,55/22/33/22/54,40/16/24/16/36,40/16/24/16/38,40/16/24/16/40,45/18/27/18/42,45/18/27/18/44,55/22/33/22/52,55/22/33/22/49,50/20/30/20/47,50/20/30/20/45,45/18/27/18/42,45/18/27/18/40,45/18/27/18/38,40/16/24/16/36,40/16/24/16/34,35/14/21/14/30,35/14/21/14/28,30/12/18/12/25,30/12/18/12/24,30/12/18/12/22,25/10/15/10/15,30/12/18/12/21,30/12/18/12/23,30/12/18/12/25,30/12/18/12/27,35/14/21/14/28,35/14/21/14/31,40/16/24/16/33,40/16/24/16/35,40/16/24/16/39,40/16/24/16/44,40/16/24/16/44,40/16/24/16/42,40/16/24/16/35,40/16/24/16/44,40/16/24/16/46,45/18/27/18/48,45/18/27/18/51,45/18/27/18/49,40/16/24/16/45,45/18/27/18/44,45/18/27/18/49,50/20/30/20/52, 
BR03 萬芳社區,20/8/12/8/3,20/8/12/8/1,0/0/0/0/0,20/8/12/8/2,20/8/12/8/4,20/8/12/8/7,20/8/12/8/8,25/10/15/10/11,25/10/15/10/12,25/10/15/10/14,30/12/18/12/16,30/12/18/12/18,30/12/18/12/21,35/14/21/14/24,40/16/24/16/26,40/16/24/16/28,40/16/24/16/30,45/18/27/18/31,45/18/27/18/33,45/18/27/18/35,45/18/27/18/37,40/16/24/16/39,40/16/24/16/41,40/16/24/16/34,30/12/18/12/23,30/12/18/12/21,25/10/15/10/19,25/10/15/10/12,25/10/15/10/19,25/10/15/10/20,30/12/18/12/24,30/12/18/12/26,30/12/18/12/24,30/12/18/12/25,35/14/21/14/31,35/14/21/14/32,35/14/21/14/34,40/16/24/16/36,40/16/24/16/38,40/16/24/16/40,45/18/27/18/42,45/18/27/18/44,45/18/27/18/46,45/18/27/18/47,50/20/30/20/49,50/20/30/20/55,50/20/30/20/52,55/22/33/22/54,55/22/33/22/56,55/22/33/22/59,60/24/36/24/62,60/24/36/24/65,45/18/27/18/43,40/16/24/16/41,40/16/24/16/39,45/18/27/18/46,40/16/24/16/37,35/14/21/14/35,35/14/21/14/34,35/14/21/14/31,30/12/18/12/29,30/12/18/12/26,30/12/18/12/24,30/12/18/12/27,30/12/18/12/27,35/14/21/14/28,30/12/18/12/25,30/12/18/12/23,30/12/18/12/16,30/12/18/12/23,30/12/18/12/25,35/14/21/14/28,40/16/24/16/36,35/14/21/14/34,35/14/21/14/32,35/14/21/14/29,30/12/18/12/26,25/10/15/10/20,30/12/18/12/21,30/12/18/12/23,30/12/18/12/26,35/14/21/14/28,35/14/21/14/32,35/14/21/14/32,35/14/21/14/34,40/16/24/16/36,40/16/24/16/38,45/18/27/18/41,45/18/27/18/43,45/18/27/18/45,50/20/30/20/48,50/20/30/20/50,55/22/33/22/53,40/16/24/16/35,40/16/24/16/37,40/16/24/16/39,45/18/27/18/40,45/18/27/18/43,55/22/33/22/51,55/22/33/22/48,50/20/30/20/46,50/20/30/20/43,45/18/27/18/41,45/18/27/18/38,45/18/27/18/37,40/16/24/16/35,40/16/24/16/33,35/14/21/14/29,30/12/18/12/27,30/12/18/12/24,30/12/18/12/23,30/12/18/12/21,25/10/15/10/14,25/10/15/10/20,30/12/18/12/22,30/12/18/12/24,30/12/18/12/25,35/14/21/14/27,35/14/21/14/29,35/14/21/14/32,40/16/24/16/34,40/16/24/16/37,40/16/24/16/43,40/16/24/16/43,40/16/24/16/41,35/14/21/14/34,40/16/24/16/43,40/16/24/16/45,40/16/24/16/47,45/18/27/18/50,45/18/27/18/48,40/16/24/16/44,45/18/27/18/43,45/18/27/18/48,50/20/30/20/51, 
BR04 萬芳醫院,20/8/12/8/5,20/8/12/8/3,20/8/12/8/2,0/0/0/0/0,20/8/12/8/2,20/8/12/8/5,20/8/12/8/6,20/8/12/8/9,25/10/15/10/10,25/10/15/10/12,25/10/15/10/14,30/12/18/12/16,30/12/18/12/19,35/14/21/14/22,35/14/21/14/24,40/16/24/16/26,40/16/24/16/28,40/16/24/16/29,45/18/27/18/31,45/18/27/18/33,40/16/24/16/35,40/16/24/16/37,40/16/24/16/39,35/14/21/14/32,25/10/15/10/21,25/10/15/10/19,25/10/15/10/17,25/10/15/10/10,25/10/15/10/17,25/10/15/10/18,30/12/18/12/22,30/12/18/12/24,30/12/18/12/22,30/12/18/12/23,30/12/18/12/29,30/12/18/12/30,35/14/21/14/32,35/14/21/14/34,40/16/24/16/36,40/16/24/16/38,40/16/24/16/40,40/16/24/16/42,45/18/27/18/44,45/18/27/18/45,45/18/27/18/47,50/20/30/20/53,50/20/30/20/50,50/20/30/20/52,55/22/33/22/54,55/22/33/22/57,60/24/36/24/60,60/24/36/24/63,40/16/24/16/41,40/16/24/16/39,40/16/24/16/37,40/16/24/16/44,35/14/21/14/35,35/14/21/14/33,35/14/21/14/31,30/12/18/12/29,30/12/18/12/27,30/12/18/12/24,30/12/18/12/22,30/12/18/12/25,30/12/18/12/25,30/12/18/12/26,30/12/18/12/23,30/12/18/12/21,25/10/15/10/14,30/12/18/12/21,30/12/18/12/23,30/12/18/12/25,35/14/21/14/34,35/14/21/14/32,35/14/21/14/30,30/12/18/12/27,30/12/18/12/24,25/10/15/10/18,25/10/15/10/18,30/12/18/12/21,30/12/18/12/24,30/12/18/12/26,30/12/18/12/30,35/14/21/14/30,35/14/21/14/32,35/14/21/14/34,40/16/24/16/36,40/16/24/16/39,40/16/24/16/41,45/18/27/18/43,45/18/27/18/46,50/20/30/20/48,50/20/30/20/51,35/14/21/14/32,40/16/24/16/35,40/16/24/16/36,40/16/24/16/38,45/18/27/18/41,55/22/33/22/49,50/20/30/20/46,50/20/30/20/44,45/18/27/18/41,45/18/27/18/39,40/16/24/16/36,40/16/24/16/35,40/16/24/16/33,40/16/24/16/31,30/12/18/12/27,30/12/18/12/25,30/12/18/12/22,30/12/18/12/21,25/10/15/10/18,25/10/15/10/12,25/10/15/10/18,25/10/15/10/20,30/12/18/12/21,30/12/18/12/23,30/12/18/12/25,35/14/21/14/27,35/14/21/14/30,35/14/21/14/32,35/14/21/14/35,40/16/24/16/41,40/16/24/16/41,35/14/21/14/39,35/14/21/14/32,40/16/24/16/41,40/16/24/16/43,40/16/24/16/45,40/16/24/16/48,40/16/24/16/46,40/16/24/16/42,40/16/24/16/41,45/18/27/18/46,45/18/27/18/49, 
BR05 辛亥,20/8/12/8/7,20/8/12/8/6,20/8/12/8/4,20/8/12/8/2,0/0/0/0/0,20/8/12/8/3,20/8/12/8/4,20/8/12/8/7,20/8/12/8/8,25/10/15/10/10,25/10/15/10/12,25/10/15/10/14,30/12/18/12/16,35/14/21/14/20,35/14/21/14/22,40/16/24/16/24,40/16/24/16/26,40/16/24/16/27,45/18/27/18/29,45/18/27/18/30,40/16/24/16/33,40/16/24/16/35,35/14/21/14/36,35/14/21/14/30,25/10/15/10/19,25/10/15/10/17,25/10/15/10/15,20/8/12/8/8,25/10/15/10/14,25/10/15/10/16,25/10/15/10/20,30/12/18/12/22,25/10/15/10/20,30/12/18/12/21,30/12/18/12/26,30/12/18/12/28,30/12/18/12/30,35/14/21/14/32,35/14/21/14/34,40/16/24/16/36,40/16/24/16/38,40/16/24/16/39,45/18/27/18/42,45/18/27/18/43,45/18/27/18/45,45/18/27/18/51,50/20/30/20/48,50/20/30/20/50,50/20/30/20/52,55/22/33/22/55,55/22/33/22/57,60/24/36/24/61,40/16/24/16/39,40/16/24/16/37,35/14/21/14/35,40/16/24/16/41,35/14/21/14/33,35/14/21/14/31,30/12/18/12/29,30/12/18/12/27,30/12/18/12/25,25/10/15/10/22,25/10/15/10/20,30/12/18/12/23,30/12/18/12/23,30/12/18/12/23,30/12/18/12/21,25/10/15/10/19,25/10/15/10/12,25/10/15/10/18,30/12/18/12/21,30/12/18/12/23,35/14/21/14/31,35/14/21/14/29,30/12/18/12/27,30/12/18/12/25,25/10/15/10/22,25/10/15/10/16,25/10/15/10/16,25/10/15/10/19,30/12/18/12/22,30/12/18/12/24,30/12/18/12/28,30/12/18/12/27,35/14/21/14/30,35/14/21/14/32,35/14/21/14/34,40/16/24/16/37,40/16/24/16/39,40/16/24/16/41,45/18/27/18/43,45/18/27/18/46,50/20/30/20/49,35/14/21/14/30,35/14/21/14/33,40/16/24/16/34,40/16/24/16/36,40/16/24/16/39,55/22/33/22/47,50/20/30/20/43,50/20/30/20/41,45/18/27/18/39,45/18/27/18/36,40/16/24/16/34,40/16/24/16/33,40/16/24/16/30,35/14/21/14/29,30/12/18/12/25,30/12/18/12/23,25/10/15/10/20,25/10/15/10/18,25/10/15/10/16,25/10/15/10/10,25/10/15/10/16,25/10/15/10/18,25/10/15/10/19,30/12/18/12/21,30/12/18/12/23,30/12/18/12/25,35/14/21/14/27,35/14/21/14/30,35/14/21/14/33,40/16/24/16/39,35/14/21/14/39,35/14/21/14/37,35/14/21/14/29,35/14/21/14/39,40/16/24/16/41,40/16/24/16/42,40/16/24/16/46,40/16/24/16/44,40/16/24/16/39,40/16/24/16/39,40/16/24/16/44,45/18/27/18/47, 
BR06 麟光,20/8/12/8/10,20/8/12/8/8,20/8/12/8/7,20/8/12/8/5,20/8/12/8/3,0/0/0/0/0,20/8/12/8/2,20/8/12/8/4,20/8/12/8/6,20/8/12/8/7,20/8/12/8/10,25/10/15/10/11,25/10/15/10/14,30/12/18/12/17,35/14/21/14/19,35/14/21/14/22,35/14/21/14/23,40/16/24/16/25,40/16/24/16/26,40/16/24/16/28,40/16/24/16/30,35/14/21/14/32,35/14/21/14/34,35/14/21/14/27,25/10/15/10/16,20/8/12/8/14,20/8/12/8/12,20/8/12/8/6,20/8/12/8/12,20/8/12/8/14,25/10/15/10/17,25/10/15/10/19,25/10/15/10/17,25/10/15/10/18,25/10/15/10/24,30/12/18/12/25,30/12/18/12/27,30/12/18/12/30,35/14/21/14/32,35/14/21/14/34,35/14/21/14/35,40/16/24/16/37,40/16/24/16/39,40/16/24/16/41,45/18/27/18/43,45/18/27/18/48,45/18/27/18/45,50/20/30/20/48,50/20/30/20/49,55/22/33/22/52,55/22/33/22/55,60/24/36/24/58,40/16/24/16/36,35/14/21/14/34,35/14/21/14/32,40/16/24/16/39,35/14/21/14/31,30/12/18/12/29,30/12/18/12/27,25/10/15/10/24,25/10/15/10/22,25/10/15/10/19,25/10/15/10/17,25/10/15/10/20,25/10/15/10/20,30/12/18/12/21,25/10/15/10/18,25/10/15/10/16,20/8/12/8/10,25/10/15/10/16,25/10/15/10/18,30/12/18/12/21,35/14/21/14/29,30/12/18/12/27,30/12/18/12/25,25/10/15/10/23,25/10/15/10/19,20/8/12/8/14,20/8/12/8/14,25/10/15/10/16,25/10/15/10/19,25/10/15/10/21,30/12/18/12/25,30/12/18/12/25,30/12/18/12/27,35/14/21/14/29,35/14/21/14/31,35/14/21/14/34,40/16/24/16/36,40/16/24/16/38,40/16/24/16/41,45/18/27/18/43,45/18/27/18/46,30/12/18/12/28,35/14/21/14/30,35/14/21/14/32,35/14/21/14/34,40/16/24/16/36,50/20/30/20/44,45/18/27/18/41,45/18/27/18/39,45/18/27/18/37,40/16/24/16/34,40/16/24/16/32,35/14/21/14/30,35/14/21/14/28,35/14/21/14/26,30/12/18/12/22,25/10/15/10/20,25/10/15/10/17,25/10/15/10/16,20/8/12/8/14,20/8/12/8/7,20/8/12/8/13,20/8/12/8/15,25/10/15/10/17,25/10/15/10/19,25/10/15/10/20,30/12/18/12/23,30/12/18/12/25,35/14/21/14/27,35/14/21/14/31,35/14/21/14/36,35/14/21/14/36,35/14/21/14/34,30/12/18/12/27,35/14/21/14/36,35/14/21/14/38,35/14/21/14/40,40/16/24/16/43,35/14/21/14/41,35/14/21/14/37,40/16/24/16/36,40/16/24/16/41,40/16/24/16/44, 
BR07 六張犁,25/10/15/10/11,20/8/12/8/10,20/8/12/8/8,20/8/12/8/6,20/8/12/8/4,20/8/12/8/2,0/0/0/0/0,20/8/12/8/3,20/8/12/8/4,20/8/12/8/6,20/8/12/8/8,20/8/12/8/9,25/10/15/10/12,30/12/18/12/16,30/12/18/12/18,35/14/21/14/20,35/14/21/14/21,35/14/21/14/23,40/16/24/16/25,40/16/24/16/26,35/14/21/14/29,35/14/21/14/31,35/14/21/14/32,30/12/18/12/26,20/8/12/8/15,20/8/12/8/13,20/8/12/8/11,20/8/12/8/4,20/8/12/8/10,20/8/12/8/12,20/8/12/8/15,25/10/15/10/18,25/10/15/10/16,25/10/15/10/17,25/10/15/10/22,25/10/15/10/24,30/12/18/12/26,30/12/18/12/28,30/12/18/12/30,35/14/21/14/32,35/14/21/14/34,35/14/21/14/35,40/16/24/16/37,40/16/24/16/39,40/16/24/16/41,45/18/27/18/47,45/18/27/18/44,45/18/27/18/46,50/20/30/20/48,50/20/30/20/51,55/22/33/22/53,55/22/33/22/57,35/14/21/14/35,35/14/21/14/33,35/14/21/14/31,35/14/21/14/37,30/12/18/12/29,30/12/18/12/27,30/12/18/12/25,25/10/15/10/23,25/10/15/10/21,20/8/12/8/17,20/8/12/8/15,25/10/15/10/19,25/10/15/10/18,25/10/15/10/19,25/10/15/10/17,25/10/15/10/14,20/8/12/8/8,20/8/12/8/14,25/10/15/10/16,25/10/15/10/19,30/12/18/12/27,30/12/18/12/25,30/12/18/12/23,25/10/15/10/21,20/8/12/8/17,20/8/12/8/12,20/8/12/8/12,25/10/15/10/14,25/10/15/10/18,25/10/15/10/20,25/10/15/10/24,25/10/15/10/23,30/12/18/12/26,30/12/18/12/28,35/14/21/14/30,35/14/21/14/32,35/14/21/14/35,40/16/24/16/37,40/16/24/16/39,45/18/27/18/42,45/18/27/18/45,30/12/18/12/26,35/14/21/14/28,35/14/21/14/30,35/14/21/14/32,35/14/21/14/34,50/20/30/20/43,45/18/27/18/39,45/18/27/18/37,40/16/24/16/35,40/16/24/16/32,35/14/21/14/30,35/14/21/14/29,35/14/21/14/26,30/12/18/12/25,25/10/15/10/21,25/10/15/10/18,25/10/15/10/16,20/8/12/8/14,20/8/12/8/12,20/8/12/8/6,20/8/12/8/12,20/8/12/8/13,25/10/15/10/15,25/10/15/10/17,25/10/15/10/19,30/12/18/12/21,30/12/18/12/23,30/12/18/12/26,30/12/18/12/29,35/14/21/14/35,35/14/21/14/34,30/12/18/12/33,30/12/18/12/25,30/12/18/12/35,35/14/21/14/37,35/14/21/14/38,35/14/21/14/42,35/14/21/14/40,35/14/21/14/35,35/14/21/14/35,40/16/24/16/40,40/16/24/16/42, 
BR08 科技大樓,25/10/15/10/14,25/10/15/10/12,25/10/15/10/11,20/8/12/8/9,20/8/12/8/7,20/8/12/8/4,20/8/12/8/3,0/0/0/0/0,20/8/12/8/2,20/8/12/8/3,20/8/12/8/5,20/8/12/8/7,25/10/15/10/10,25/10/15/10/13,30/12/18/12/15,30/12/18/12/17,35/14/21/14/19,35/14/21/14/21,35/14/21/14/22,35/14/21/14/24,35/14/21/14/26,35/14/21/14/28,30/12/18/12/30,30/12/18/12/23,20/8/12/8/12,20/8/12/8/10,20/8/12/8/8,20/8/12/8/2,20/8/12/8/8,20/8/12/8/10,20/8/12/8/13,20/8/12/8/15,20/8/12/8/13,25/10/15/10/14,25/10/15/10/20,25/10/15/10/21,25/10/15/10/23,30/12/18/12/26,30/12/18/12/28,30/12/18/12/30,35/14/21/14/31,35/14/21/14/33,35/14/21/14/35,40/16/24/16/37,40/16/24/16/39,40/16/24/16/44,40/16/24/16/41,45/18/27/18/44,45/18/27/18/45,50/20/30/20/48,55/22/33/22/51,55/22/33/22/54,35/14/21/14/32,35/14/21/14/30,30/12/18/12/28,35/14/21/14/35,30/12/18/12/27,30/12/18/12/25,25/10/15/10/23,25/10/15/10/20,20/8/12/8/18,20/8/12/8/15,20/8/12/8/13,20/8/12/8/16,25/10/15/10/16,25/10/15/10/17,25/10/15/10/14,20/8/12/8/12,20/8/12/8/5,20/8/12/8/12,25/10/15/10/14,25/10/15/10/17,30/12/18/12/25,30/12/18/12/23,25/10/15/10/21,25/10/15/10/19,20/8/12/8/15,20/8/12/8/10,20/8/12/8/10,20/8/12/8/12,20/8/12/8/15,25/10/15/10/17,25/10/15/10/21,25/10/15/10/21,30/12/18/12/23,30/12/18/12/25,30/12/18/12/27,35/14/21/14/30,35/14/21/14/32,35/14/21/14/34,40/16/24/16/37,40/16/24/16/39,45/18/27/18/42,30/12/18/12/24,30/12/18/12/26,30/12/18/12/28,35/14/21/14/30,35/14/21/14/32,45/18/27/18/40,45/18/27/18/37,40/16/24/16/35,40/16/24/16/33,35/14/21/14/30,35/14/21/14/28,35/14/21/14/26,30/12/18/12/24,30/12/18/12/22,25/10/15/10/18,25/10/15/10/16,20/8/12/8/13,20/8/12/8/12,20/8/12/8/10,20/8/12/8/3,20/8/12/8/9,20/8/12/8/11,20/8/12/8/13,20/8/12/8/15,25/10/15/10/16,25/10/15/10/19,30/12/18/12/21,30/12/18/12/23,30/12/18/12/27,30/12/18/12/32,30/12/18/12/32,30/12/18/12/30,30/12/18/12/23,30/12/18/12/32,30/12/18/12/34,35/14/21/14/36,35/14/21/14/39,35/14/21/14/37,30/12/18/12/33,35/14/21/14/32,35/14/21/14/37,40/16/24/16/40, 
BR09 大安,25/10/15/10/15,25/10/15/10/14,25/10/15/10/12,25/10/15/10/10,20/8/12/8/8,20/8/12/8/6,20/8/12/8/4,20/8/12/8/2,0/0/0/0/0,20/8/12/8/2,20/8/12/8/4,20/8/12/8/5,20/8/12/8/8,25/10/15/10/11,30/12/18/12/14,30/12/18/12/16,30/12/18/12/17,35/14/21/14/19,35/14/21/14/21,35/14/21/14/22,35/14/21/14/25,30/12/18/12/26,30/12/18/12/28,30/12/18/12/21,20/8/12/8/6,20/8/12/8/4,20/8/12/8/2,0/0/0/0/0,20/8/12/8/2,20/8/12/8/3,20/8/12/8/7,20/8/12/8/9,20/8/12/8/10,20/8/12/8/12,20/8/12/8/14,25/10/15/10/15,25/10/15/10/17,25/10/15/10/19,30/12/18/12/21,30/12/18/12/23,30/12/18/12/25,35/14/21/14/27,35/14/21/14/29,35/14/21/14/31,40/16/24/16/32,40/16/24/16/38,40/16/24/16/35,45/18/27/18/37,45/18/27/18/39,50/20/30/20/42,50/20/30/20/45,55/22/33/22/48,35/14/21/14/26,30/12/18/12/24,30/12/18/12/22,35/14/21/14/29,30/12/18/12/20,25/10/15/10/19,25/10/15/10/17,20/8/12/8/14,20/8/12/8/12,20/8/12/8/9,20/8/12/8/7,20/8/12/8/10,20/8/12/8/12,25/10/15/10/14,20/8/12/8/12,20/8/12/8/10,20/8/12/8/4,20/8/12/8/10,20/8/12/8/12,25/10/15/10/15,30/12/18/12/19,25/10/15/10/17,25/10/15/10/15,25/10/15/10/13,20/8/12/8/9,20/8/12/8/3,20/8/12/8/8,20/8/12/8/10,20/8/12/8/12,20/8/12/8/14,25/10/15/10/15,25/10/15/10/17,25/10/15/10/20,30/12/18/12/22,30/12/18/12/24,30/12/18/12/27,35/14/21/14/29,35/14/21/14/31,40/16/24/16/33,40/16/24/16/36,45/18/27/18/39,25/10/15/10/20,30/12/18/12/22,30/12/18/12/24,30/12/18/12/26,35/14/21/14/28,45/18/27/18/39,45/18/27/18/35,40/16/24/16/33,40/16/24/16/31,35/14/21/14/28,35/14/21/14/26,35/14/21/14/24,30/12/18/12/22,30/12/18/12/20,25/10/15/10/17,20/8/12/8/12,20/8/12/8/10,20/8/12/8/10,20/8/12/8/8,20/8/12/8/2,20/8/12/8/8,20/8/12/8/9,20/8/12/8/11,20/8/12/8/13,20/8/12/8/15,25/10/15/10/17,25/10/15/10/19,30/12/18/12/21,30/12/18/12/20,30/12/18/12/26,30/12/18/12/26,30/12/18/12/24,25/10/15/10/17,30/12/18/12/26,30/12/18/12/28,30/12/18/12/30,35/14/21/14/32,35/14/21/14/35,30/12/18/12/31,35/14/21/14/29,35/14/21/14/36,35/14/21/14/38, 
