起點站,終點站,首班車,末班車
新北產業園區,幸福,0,0
幸福,新北產業園區,0,30
幸福,頭前庄,2,2
頭前庄,幸福,6,28
頭前庄,新埔民生,4,4
新埔民生,頭前庄,3,25
新埔民生,板橋,0,7
板橋,新埔民生,0,21
板橋,板新,3,11
板新,板橋,3,18
板新,中原,6,14
中原,板新,1,16
中原,橋和,0,16
橋和,中原,0,14
橋和,中和,1,18
中和,橋和,5,12
中和,景安,3,20
景安,中和,2,8
景安,景平,0,24
景平,景安,0,6
景平,秀朗橋,1,26
秀朗橋,景平,4,4
秀朗橋,十四張,3,27
十四張,秀朗橋,2,2
十四張,大坪林,5,30
大坪林,十四張,0,0
